colsample_bytree,colsample_bynode,max_depth,learning_rate,n_estimators,subsample,gamma,max_leaves,test_mae,train_mae
-1,-1,1,-1,-1,1,-1,-1,164889.8586248983,8864.858517667337
1,-1,1,1,1,-1,-1,1,110614.208096013,2947.113706549842
1,-1,-1,1,-1,-1,1,-1,225543.45565500407,156722.18719477163
-1,1,1,1,1,-1,-1,1,181386.20514646053,5386.095608302212
-1,-1,-1,-1,-1,-1,1,1,366604.8506916192,322576.646725079
-1,1,-1,-1,1,1,-1,-1,121446.51698535394,54506.77526213732
-1,-1,1,-1,1,1,-1,1,165075.33034987794,9484.155038063776
-1,-1,-1,1,-1,1,-1,-1,283431.1802278275,218493.50093363976
-1,1,1,1,-1,1,-1,1,137987.4678600488,35350.21534760126
-1,-1,-1,1,1,-1,-1,-1,196168.30970301057,90912.94908072392
1,-1,-1,-1,1,-1,-1,1,137869.82058584216,60712.79375538638
-1,-1,1,-1,1,-1,-1,-1,213831.07089096823,480.9311979316288
1,1,1,1,-1,1,1,-1,106818.91578519122,1589.1941072967538
1,1,1,1,1,1,1,1,107630.72253864932,724.7887101407641
1,1,1,-1,1,-1,-1,-1,74010.39137510171,407.8145827348463
-1,-1,-1,-1,1,1,1,1,150886.26871440196,83767.72369649526
-1,-1,1,1,-1,1,1,-1,239993.1852115541,2759.630188882505
-1,1,-1,1,1,1,1,-1,108608.12550854353,39248.00574547544
1,-1,-1,-1,-1,-1,-1,-1,200386.42005695688,156039.1183208848
1,1,-1,-1,1,-1,1,-1,93777.94690805532,35342.521653260555
-1,-1,1,-1,-1,-1,-1,1,251150.35343775427,117966.21676601552
-1,1,1,-1,1,-1,1,1,179224.06295768917,10268.668970841713
1,1,1,1,1,-1,1,-1,83542.39971521562,307.35173082447574
-1,1,1,-1,1,1,1,-1,196708.01749389747,130.58282461936224
-1,-1,1,1,-1,-1,1,1,265840.3863913751,97811.15665397876
1,-1,1,-1,1,-1,1,1,95502.18368592352,6034.635880494111
1,1,1,-1,1,1,-1,1,93429.85201383238,2034.163297184717
-1,1,1,1,-1,-1,-1,-1,214767.6037428804,22550.595195346166
-1,-1,-1,1,1,1,-1,1,162280.5207485761,70715.85781743751
1,-1,1,1,-1,1,-1,1,102517.40388527258,19784.975348319447
-1,-1,-1,1,-1,-1,-1,1,329422.66822620016,263115.6701917552
1,1,-1,1,-1,-1,-1,1,111270.15398698128,71990.92401608733
-1,-1,1,1,1,-1,1,-1,288230.9332790887,300.63710140764147
1,-1,1,1,-1,-1,-1,-1,113474.85506509356,16176.604226515368
1,-1,1,-1,1,1,1,-1,95311.05970301056,131.4147874174088
-1,1,1,1,1,1,-1,-1,187061.22681041496,127.98798836541224
-1,1,-1,-1,1,-1,-1,1,127979.9155817738,60874.12201953462
-1,1,-1,1,-1,1,1,1,187497.8932058584,132031.62187589772
-1,-1,1,1,1,1,1,1,175321.39818958502,3762.0848355357657
1,-1,-1,1,1,1,1,-1,115214.04810821806,42501.369128842285
-1,1,1,-1,-1,1,1,1,169053.28824247356,62842.47723355357
1,1,-1,-1,1,1,1,1,94687.64839300244,32514.981524705545
-1,1,-1,-1,-1,1,-1,1,256336.69609438567,204451.57907210573
-1,1,-1,1,-1,-1,1,-1,214659.6220504475,178038.92705041653
1,1,1,-1,-1,-1,-1,1,70263.85455655004,22803.005440247056
1,1,-1,1,-1,1,-1,-1,116674.1167615948,72132.75773843723
-1,1,1,-1,-1,-1,1,-1,216713.67748169243,35411.00931844298
1,-1,1,1,1,1,-1,-1,95578.02369812856,128.1265979603562
1,-1,-1,-1,-1,1,-1,1,177018.9739625712,139644.04086469405
1,-1,-1,1,-1,1,1,1,171987.93429617575,120649.15965239874
-1,1,-1,1,1,-1,1,1,136541.34326688363,59512.18809250216
-1,-1,-1,-1,-1,1,1,-1,338749.775630594,292108.23919132433
1,1,1,-1,-1,1,-1,-1,91892.6348657445,4157.2097098534905
-1,-1,-1,-1,1,-1,1,-1,176619.84987794954,98391.50251364552
1,1,-1,1,1,-1,-1,-1,96294.62123677786,33277.584153260555
1,-1,-1,-1,1,1,-1,-1,111463.24430431244,52487.96046394714
1,1,-1,1,1,1,-1,1,83009.12855980473,24601.01145504165
1,-1,-1,1,1,-1,1,1,158117.90632628152,63476.91755242746
-1,1,-1,-1,-1,-1,-1,-1,257380.6509357201,219145.28874605
1,-1,1,-1,-1,1,1,1,98607.98291293735,23813.728975150814
1,1,1,1,-1,-1,1,1,81370.82262001628,17607.309286124677
1,1,-1,-1,-1,-1,1,1,101146.4125305126,68383.46789715599
1,-1,1,-1,-1,-1,1,-1,92602.8782546786,25093.452779373743
1,1,-1,-1,-1,1,1,-1,102610.12855980473,65241.20066072968
0,0,0,0,0,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,0,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,0,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,0,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,0,0,0,0,100885.28020748576,10149.365502010916
1,0,0,0,0,0,0,0,100609.27217249796,4988.753429330652
-1,0,0,0,0,0,0,0,99909.79953213995,1961.4404086469406
0,1,0,0,0,0,0,0,99617.38771358828,10106.332680982476
0,-1,0,0,0,0,0,0,136176.71826688363,68488.15518170065
0,0,1,0,0,0,0,0,116674.20880797396,8342.606021976444
0,0,-1,0,0,0,0,0,111676.77217249796,13680.941557742028
0,0,0,1,0,0,0,0,100670.48657445077,5466.014363688595
0,0,0,-1,0,0,0,0,103966.87581366966,28431.271814852054
0,0,0,0,1,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,-1,0,0,0,100885.28020748576,10149.365502010916
0,0,0,0,0,1,0,0,93022.61676159479,10294.940103418558
0,0,0,0,0,-1,0,0,111467.97182668836,17028.729154696925
0,0,0,0,0,0,1,0,86700.16324247356,8438.525010772766
0,0,0,0,0,0,-1,0,139068.3179414158,24418.822554582017
0,0,0,0,0,0,0,1,86168.20748576078,8685.443873886814
0,0,0,0,0,0,0,-1,129254.20677379984,22787.818855932204
